"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Paneth","log2fold_change","Auc"
"179","Selk","hurdle",1.20014449605533e-15,0.7406471,1.3447504,0.6041033,0.618
"128","Lrrc26","hurdle",1.2574388563362e-32,-2.3647031,-0.8441351,1.520568,0.618
"83","Ggh","hurdle",6.73098600013054e-39,-1.936829,-0.511743,1.425086,0.616
"189","Smim6","hurdle",1.81993382527589e-12,-0.47193917,0.09635924,0.56829841,0.613
"103","Guca2a","hurdle",1.74071094471072e-20,0.4538471,1.4770809,1.0232338,0.613
"6","5330417C22Rik","hurdle",3.23685991423785e-24,-2.0192567,-0.6842326,1.3350241,0.613
"72","Fam213a","hurdle",1.28724275440946e-16,-1.1509657,-0.0968822,1.0540835,0.61
"41","Cdkn1a","hurdle",8.24929833523055e-16,-1.03523205,0.01528763,1.05051968,0.606
"64","Dnajc3","hurdle",3.48076000693962e-29,-0.9754305,0.0870545,1.062485,0.604
"191","Spdef","hurdle",5.49869437931714e-34,-2.51743,-1.217937,1.299493,0.601
"164","Rab3d","hurdle",4.82361449669392e-15,-1.5730827,-0.6295193,0.9435634,0.601
"187","Smim3","hurdle",1.39975227818129e-33,-2.726091,-1.195055,1.531036,0.6
"221","Txndc5","hurdle",4.48548689366611e-10,-0.4987506,0.1284612,0.6272118,0.599
"105","H13","hurdle",8.56356566428882e-13,-0.2615975,0.3546712,0.6162687,0.598
"212","Tmprss2","hurdle",1.97492661062872e-12,-0.2444095,0.404214,0.6486235,0.596
"47","Creb3l4","hurdle",3.2639481691625e-25,-2.588182,-1.161398,1.426784,0.592
"38","Ccng1","hurdle",4.67274594809274e-15,-1.3675373,-0.5188289,0.8487084,0.591
"233","Xbp1","hurdle",2.10878317000537e-10,0.08072781,0.62601757,0.54528976,0.59
"154","Pla2g12a","hurdle",3.3916221490894e-09,0.1256324,0.6640605,0.5384281,0.59
"220","Tulp4","hurdle",5.87861396234885e-20,-2.109229,-0.994063,1.115166,0.589
"48","Crlf1","hurdle",8.50750709168604e-20,-2.354993,-1.139389,1.215604,0.589
"20","Atoh1","hurdle",4.72927555544684e-24,-2.385556,-1.044301,1.341255,0.589
"1","1110008P14Rik","hurdle",4.90274311737829e-10,-1.2352931,-0.5331061,0.702187,0.589
"55","Defa21","hurdle",1.97196553388192e-47,-2.202464,1.894743,4.097207,0.588
"15","Aqp1","hurdle",1.50795764156162e-08,0.0834083,0.5836398,0.5002315,0.588
"215","Tram1","hurdle",2.58291521220516e-23,-0.6296324,0.1992608,0.8288932,0.587
"171","Rep15","hurdle",1.16099921309058e-31,-2.675365,-1.415368,1.259997,0.587
"96","Gm6696","hurdle",7.22803314508235e-68,-3.289199,-1.496975,1.792224,0.587
"194","Srp14","hurdle",2.1360328544415e-09,0.4527245,0.9802829,0.5275584,0.586
"27","Bet1","hurdle",1.17184459365618e-12,-0.8277413,-0.1454079,0.6823334,0.586
"214","Trabd","hurdle",6.28711524422512e-09,-0.62634375,-0.02955111,0.59679264,0.585
"19","Atg7","hurdle",7.14187981577251e-20,-2.459709,-1.325651,1.134058,0.585
"155","Pla2g2f","hurdle",6.66849346721299e-40,-3.129623,-1.583476,1.546147,0.583
"76","Foxa3","hurdle",3.08087814674065e-08,-0.61525415,0.02506534,0.64031949,0.583
"28","Bhlha15","hurdle",2.40811189983589e-33,-3.024875,-1.568694,1.456181,0.583
"140","Muc3a","hurdle",4.79576416103374e-09,-1.3110042,-0.6218698,0.6891344,0.582
"44","Clptm1l","hurdle",2.13311039181667e-07,-0.6661241,-0.1399349,0.5261892,0.582
"33","Camk2n1","hurdle",1.6816206307015e-09,-0.7138032,-0.102194,0.6116092,0.582
"203","Tesc","hurdle",9.7148370035587e-48,-3.225888,-1.740275,1.485613,0.581
"42","Cfi","hurdle",2.47674516466445e-14,-1.8756795,-0.9265449,0.9491346,0.581
"229","Wars","hurdle",1.34975725614124e-07,-1.2082709,-0.6066914,0.6015795,0.577
"18","Asph","hurdle",3.75699324009037e-14,-1.7048533,-0.8264439,0.8784094,0.577
"141","Neat1","hurdle",1.78184595391014e-06,-0.6918659,-0.1564167,0.5354492,0.573
"82","Gfpt1","hurdle",2.35998520276838e-09,-1.701004,-0.935999,0.765005,0.572
"52","Dap","hurdle",1.52340535807032e-07,-0.782097,-0.207023,0.575074,0.572
"14","Ap3s1","hurdle",2.01245950594374e-07,-1.0135887,-0.4360116,0.5775771,0.572
"199","Syne4","hurdle",4.79715271260753e-11,-1.968404,-1.096352,0.872052,0.571
"101","Gne","hurdle",4.95338118386681e-10,-1.853721,-1.096352,0.757369,0.571
"218","Tst","hurdle",8.36265226503746e-07,-1.3596276,-0.7916994,0.5679282,0.57
"185","Slc50a1","hurdle",2.81040731647191e-06,-0.659573,-0.1564167,0.5031563,0.569
"234","Ypel3","hurdle",1.75703800591758e-06,-0.9913248,-0.4160294,0.5752954,0.568
"183","Slc38a10","hurdle",2.17272638435364e-06,-1.4152976,-0.8710853,0.5442123,0.568
"159","Pnmal2","hurdle",2.98595913649016e-41,-3.25043,-1.87927,1.37116,0.568
"109","Hgfac","hurdle",4.744067063662e-16,-2.71053,-1.659746,1.050784,0.567
"91","Gm15315","hurdle",3.9702654433544e-45,-3.239223,-1.325651,1.913572,0.567
"210","Tmem248","hurdle",1.42562706162226e-06,-1.4478244,-0.8620458,0.5857786,0.566
"121","Klk1","hurdle",3.25936638587811e-09,-1.3847223,-0.3768765,1.0078458,0.565
"97","Gm7325","hurdle",1.61234919093289e-37,-3.244816,-1.973474,1.271342,0.565
"62","Dnajc10","hurdle",3.10517033303476e-08,-1.90239,-1.139389,0.763001,0.565
"190","Spcs3","hurdle",2.368727016939e-06,-1.1892745,-0.6372096,0.5520649,0.564
"108","Herpud1","hurdle",1.9499191333601e-09,-0.7829104,-0.1454079,0.6375025,0.564
"99","Gm7861","hurdle",4.78234402430537e-45,-3.275397,-1.861145,1.414252,0.564
"74","Fgfrl1","hurdle",2.10320344201935e-11,-2.420573,-1.525236,0.895337,0.564
"8","Adi1","hurdle",2.19247849724277e-06,-1.4343421,-0.8530627,0.5812794,0.564
"80","Galnt12","hurdle",2.86029892799236e-06,-1.4295574,-0.8089671,0.6205903,0.562
"78","Fzd9","hurdle",7.83723197553502e-33,-3.222574,-1.973474,1.2491,0.562
"50","Cxxc5","hurdle",5.9276265095856e-12,-2.612558,-1.723805,0.888753,0.561
"124","Lamp2","hurdle",5.04422188312187e-11,-0.7278322,-0.1128768,0.6149554,0.56
"193","Sqstm1","hurdle",9.6180058110132e-17,-1.865735,-1.003972,0.861763,0.559
"162","Pycr2","hurdle",1.127346836363e-05,-1.3699798,-0.8352624,0.5347174,0.558
"84","Ghr","hurdle",7.31360781045526e-09,-2.324472,-1.539577,0.784895,0.558
"30","C4b","hurdle",3.88372519470223e-31,-3.208298,-1.825565,1.382733,0.558
"161","Pycr1","hurdle",1.26775470358714e-20,-3.110096,-2.095292,1.014804,0.556
"213","Tpd52l1","hurdle",7.66189519143905e-06,-1.779193,-1.17253,0.606663,0.555
"11","Agt","hurdle",4.88417454443955e-24,-3.102968,-1.756934,1.346034,0.555
"160","Ptp4a3","hurdle",2.8916879870586e-06,-2.051729,-1.455594,0.596135,0.554
"153","Pim3","hurdle",3.86942161659278e-05,-1.2327902,-0.7246242,0.508166,0.554
"149","P2rx4","hurdle",2.06647028448501e-06,-2.053691,-1.402205,0.651486,0.554
"9","Adrbk1","hurdle",2.27122107549314e-05,-1.773523,-1.217937,0.555586,0.554
"166","Rap1gap","hurdle",6.32733531969174e-15,-2.844223,-2.012948,0.831275,0.553
"142","Nkd1","hurdle",4.31263871085456e-07,-1.96056,-1.195055,0.765505,0.553
"177","Scn1b","hurdle",2.32504088033824e-34,-3.281132,-2.053533,1.227599,0.552
"156","Plpp5","hurdle",8.39469321411014e-07,-2.01304,-1.338131,0.674909,0.551
"126","Lefty1","hurdle",5.05079981654754e-16,-3.056,-2.074262,0.981738,0.551
"71","Fam174b","hurdle",6.26810801614884e-06,-2.139643,-1.539577,0.600066,0.551
"68","Ephb3","hurdle",2.98503018720338e-05,-1.625377,-1.034113,0.591264,0.55
"21","Atp2a3","hurdle",9.11164018166377e-11,-2.297486,-1.707522,0.589964,0.55
"113","Ica1","hurdle",1.38678074054348e-08,-2.411739,-1.628753,0.782986,0.549
"176","RP23-218K15.3","hurdle",3.54192942728399e-08,-2.651398,-1.916216,0.735182,0.548
"148","Olfm4","hurdle",4.15583082095895e-08,-0.6497091,-0.1236392,0.5260699,0.548
"224","Vamp2","hurdle",0.000139220178380252,-1.949102,-1.442061,0.507041,0.547
"146","Nudt22","hurdle",1.00772918760795e-14,-2.1522,-1.288846,0.863354,0.547
"200","Sytl2","hurdle",2.75724877060032e-16,-3.020072,-2.182623,0.837449,0.546
"63","Dnajc12","hurdle",4.48273021545523e-12,-2.749751,-1.773788,0.975963,0.546
"219","Ttc39a","hurdle",1.34130313989279e-09,-2.816475,-2.012948,0.803527,0.545
"35","Cbfa2t3","hurdle",1.9581290263621e-11,-2.88731,-2.053533,0.833777,0.545
"22","Atp2c2","hurdle",3.60627248460964e-07,-2.611113,-1.916216,0.694897,0.545
"98","Gm7849","hurdle",3.0408952221752e-29,-3.281132,-1.973474,1.307658,0.544
"2","1700066B19Rik","hurdle",0.000165389466787316,-2.019257,-1.469256,0.550001,0.544
"34","Casc4","hurdle",7.43304143241933e-09,-2.794983,-2.012948,0.782035,0.543
"32","Camk1","hurdle",0.000292552142935351,-1.983286,-1.469256,0.51403,0.543
"209","Tmem214","hurdle",0.000145939165496468,-1.88963,-1.35072,0.53891,0.542
"167","Rcn1","hurdle",2.5469596267699e-05,-2.35318,-1.773788,0.579392,0.542
"157","Pnliprp1","hurdle",5.42633654387596e-16,-3.152568,-2.228354,0.924214,0.542
"110","Hid1","hurdle",1.10007063769235e-06,-2.63809,-1.973474,0.664616,0.542
"61","Dio1","hurdle",4.41191593082321e-06,-2.401084,-1.723805,0.677279,0.542
"39","Cd244","hurdle",8.37167883260247e-21,-3.239223,-2.275582,0.963641,0.542
"206","Tmco3","hurdle",1.25650121833089e-06,-2.642512,-1.973474,0.669038,0.541
"118","Kit","hurdle",1.71786453018846e-08,-2.839138,-2.138297,0.700841,0.541
"222","Uba5","hurdle",5.56062056918057e-07,-1.679638,-1.150351,0.529287,0.54
"102","Gramd1a","hurdle",6.73531367185639e-08,-2.746574,-2.012948,0.733626,0.54
"227","Vmac","hurdle",3.86367140874541e-06,-2.499269,-1.861145,0.638124,0.539
"182","Slc1a4","hurdle",3.7258690487658e-07,-2.77219,-2.116634,0.655556,0.539
"67","Ell2","hurdle",5.56215820761518e-08,-2.524215,-1.825565,0.69865,0.539
"134","Mlph","hurdle",0.000183775981954099,-2.146955,-1.598411,0.548544,0.538
"184","Slc41a1","hurdle",1.11490273031917e-05,-2.671594,-2.074262,0.597332,0.537
"122","Lama5","hurdle",2.24073576786672e-12,-3.143137,-2.374946,0.768191,0.537
"94","Gm27162","hurdle",1.54753097056639e-25,-3.300803,-2.454235,0.846568,0.537
"92","Gm16124","hurdle",6.17043441360378e-05,-2.234375,-1.644166,0.590209,0.537
"46","Cracr2b","hurdle",0.000347316146571932,-2.179789,-1.644166,0.535623,0.537
"198","Stxbp6","hurdle",0.00016639551147151,-2.468189,-1.916216,0.551973,0.535
"119","Klf15","hurdle",5.01824992893543e-15,-3.219267,-2.481664,0.737603,0.535
"5","4933406C10Rik","hurdle",0.00114651783957871,-2.241625,-1.740275,0.50135,0.535
"152","Phlda3","hurdle",6.38121279676188e-09,-2.971044,-2.182623,0.788421,0.534
"26","Bcat2","hurdle",5.06472827222212e-05,-1.924211,-1.415368,0.508843,0.534
"228","Vsig2","hurdle",3.75156868246558e-06,-2.813979,-2.116634,0.697345,0.533
"29","C1galt1c1","hurdle",0.000228022731498915,-2.088968,-1.583476,0.505492,0.533
"230","Wfdc18","hurdle",3.86584258559956e-11,-2.854447,-1.496975,1.357472,0.532
"175","Rnf11","hurdle",1.3444732094909e-07,-1.87005,-1.338131,0.531919,0.532
"123","Lamb1","hurdle",7.7619556621432e-22,-3.301969,-2.509624,0.792345,0.532
"16","Arhgap24","hurdle",7.29806503972514e-08,-3.050113,-2.400895,0.649218,0.532
"7","Acvr1c","hurdle",4.98215177475661e-07,-2.984081,-2.400895,0.583186,0.532
"223","Upb1","hurdle",3.90060361095299e-05,-2.603908,-2.012948,0.59096,0.531
"132","Mettl21b","hurdle",3.74419670184316e-16,-3.281132,-2.59691,0.684222,0.53
