"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.EE","log2fold_change","Auc"
"260","Gata5os","hurdle",1.53017685754249e-06,-3.230991,-2.684498,0.546493,0.52
"95","Bex1","hurdle",0.00042856948278806,-2.920033,-2.14393,0.776103,0.52
"62","Apom","hurdle",1.4564561888822e-09,-3.306755,-2.78136,0.525395,0.52
"34","Adcy8","hurdle",1.4697738112901e-08,-3.300962,-2.78136,0.519602,0.52
"517","Ramp2","hurdle",2.81783483808156e-08,-3.298651,-2.78136,0.517291,0.519
"490","Prkar1b","hurdle",1.92321237225538e-08,-3.278018,-2.684498,0.59352,0.519
"255","Fyn","hurdle",0.000323339903467307,-3.076522,-2.508341,0.568181,0.519
"246","Fmo2","hurdle",2.70989998429073e-07,-3.288297,-2.78136,0.506937,0.519
"165","Cspg5","hurdle",4.62379229038013e-08,-3.290592,-2.732116,0.558476,0.519
"38","Adgrl1","hurdle",8.16100423819412e-05,-3.127905,-2.593733,0.534172,0.519
"671","Tnnc1","hurdle",2.19038255074777e-07,-3.262171,-2.684498,0.577673,0.518
"585","Serpina1d","hurdle",1.58362105723299e-11,-3.319583,-2.732116,0.587467,0.518
"481","Pnmal1","hurdle",8.65369385543933e-11,-3.318412,-2.78136,0.537052,0.518
"447","Pak3","hurdle",2.63336635026153e-11,-3.318412,-2.78136,0.537052,0.518
"402","Meg3","hurdle",7.5717371257713e-12,-3.317242,-1.801538,1.515704,0.518
"335","Il17re","hurdle",2.45041873710786e-05,-3.096455,-2.550405,0.54605,0.518
"210","Enpp2","hurdle",4.51435473712464e-12,-3.320755,-2.684498,0.636257,0.518
"169","Cutal","hurdle",0.00121583489862895,-3.160056,-2.638402,0.521654,0.518
"94","Bdnf","hurdle",2.1410985763506e-11,-3.319583,-2.78136,0.538223,0.518
"61","Apoa2","hurdle",7.96174740206641e-06,-3.052961,-2.467469,0.585492,0.518
"35","Adgrf5","hurdle",7.06404600581467e-14,-3.321928,-2.732116,0.589812,0.518
"462","Pfn2","hurdle",2.35738842220015e-05,-3.24094,-2.732116,0.508824,0.517
"228","Fam167a","hurdle",7.99562437127887e-09,-3.299806,-2.593733,0.706073,0.517
"162","Crip2","hurdle",0.000309590385076681,-3.15169,-2.638402,0.513288,0.517
"660","Tmem158","hurdle",0.0025883372996295,-2.661386,-2.14393,0.517456,0.516
"333","Ikzf4","hurdle",1.90667348176635e-06,-3.278018,-2.732116,0.545902,0.516
"717","Zcchc12","hurdle",1.35087466161772e-09,-3.317242,-2.638402,0.67884,0.515
"593","Shisa9","hurdle",4.89634930650869e-12,-3.321928,-2.732116,0.589812,0.515
"443","Otop3","hurdle",0.0209313639013764,-2.929834,-2.389042,0.540792,0.515
"179","Dapl1","hurdle",4.89634930650657e-12,-3.321928,-2.351372,0.970556,0.515
"119","Ccdc184","hurdle",6.52226593181769e-10,-3.319583,-2.78136,0.538223,0.515
"49","Alb","hurdle",6.78644065222386e-10,-3.319583,-2.684498,0.635085,0.515
"437","Nts","hurdle",6.4841532304343e-13,-3.3021185,0.6735107,3.9756292,0.514
"383","Lyzl4","hurdle",7.26283314523541e-07,-3.289444,-2.638402,0.651042,0.514
"330","Igfbp2","hurdle",2.03702116947406e-08,-3.29174,-2.684498,0.607242,0.514
"151","Cldn9","hurdle",3.4481399105301e-06,-3.296344,-2.78136,0.514984,0.514
"648","Tdo2","hurdle",7.01944496121027e-09,-3.320755,-2.684498,0.636257,0.513
"582","Serpina1a","hurdle",1.40200580025646e-08,-3.320755,-2.732116,0.588639,0.513
"401","Mdk","hurdle",2.08361358070557e-09,-3.189725,-2.427723,0.762002,0.513
"252","Fxyd2","hurdle",5.80450672680633e-08,-3.318412,-2.684498,0.633914,0.513
"42","Agr3","hurdle",0.000309823977196417,-1.637315,-1.047403,0.589912,0.513
"352","Kcnk2","hurdle",2.4162078309024e-08,-3.321928,-2.732116,0.589812,0.51
"188","Dlk1","hurdle",0.000126705547587804,-3.296344,-2.732116,0.564228,0.509
"174","Cyp2j5","hurdle",1.74984289725928e-06,-3.321928,-2.684498,0.63743,0.508
"306","Hbb-bs","hurdle",2.71295222659248e-08,-3.312572,-1.483679,1.828893,0.507
"222","Fabp4","hurdle",0.000474554544748288,-3.320755,-1.9626,1.358155,0.505
"616","Sprr1a","hurdle",0.208597270085901,-3.181186,-2.389042,0.792144,0.503
