"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Ent","log2fold_change","Auc"
"345","Gstk1","hurdle",1.78197524932418e-150,-2.2842577,-0.5923574,1.6919003,0.645
"59","Adipor2","hurdle",3.1579008039176e-89,-0.6904398,0.3188243,1.0092641,0.644
"2","1700019G17Rik","hurdle",5.73331281727594e-134,-2.2029321,-0.6441688,1.5587633,0.644
"652","Slc2a2","hurdle",6.11619323819948e-233,-3.0210167,-0.8907293,2.1302874,0.642
"518","Pbld2","hurdle",2.46206838149416e-99,-1.3177993,-0.1370785,1.1807208,0.642
"276","Fahd1","hurdle",1.33028264680025e-105,-0.1812764,0.8831261,1.0644025,0.642
"42","Aco2","hurdle",1.21765264308397e-84,0.5149293,1.24669,0.7317607,0.642
"573","Ptprh","hurdle",1.4016248052437e-140,-2.4131728,-0.8052312,1.6079416,0.64
"63","Agpat9","hurdle",1.70408815083695e-169,-2.6918777,-0.9070469,1.7848308,0.64
"801","Xpnpep1","hurdle",5.2728861830835e-87,-1.01998437,0.01418199,1.03416636,0.639
"152","Cdr2","hurdle",9.83742535824579e-152,-2.4832911,-0.7453242,1.7379669,0.639
"278","Fam132a","hurdle",3.51746164369e-91,-0.8757419,0.2521587,1.1279006,0.638
"683","Slc5a4b","hurdle",7.76366736266377e-240,-3.082193,-0.900031,2.182162,0.637
"539","Pitpna","hurdle",1.51518864227658e-63,0.3448485,1.0366603,0.6918118,0.637
"715","Stap2","hurdle",4.99138612466213e-86,-1.447459,-0.3200541,1.1274049,0.636
"667","Slc39a4","hurdle",2.67861417875243e-99,-1.477966,-0.241099,1.236867,0.636
"653","Slc2a5","hurdle",4.06707714233193e-176,-2.7896529,-0.9047045,1.8849484,0.636
"633","Slc15a1","hurdle",2.04294625101793e-232,-3.084349,-0.986561,2.097788,0.636
"426","Maf","hurdle",1.16311556717994e-177,-2.7686933,-0.9426473,1.826046,0.636
"307","Gapdh","hurdle",1.33119883377085e-56,2.179477,2.757829,0.578352,0.636
"21","Abcc2","hurdle",1.55258070320866e-145,-2.5011863,-0.8074174,1.6937689,0.636
"401","Klc4","hurdle",2.56950833235653e-86,-1.4481531,-0.3452436,1.1029095,0.635
"344","Gsta4","hurdle",5.1431188005522e-121,-1.78394622,-0.03877152,1.7451747,0.635
"216","Cyp4b1","hurdle",9.5275863821794e-172,-2.7437668,-0.8609062,1.8828606,0.635
