"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Tuft","log2fold_change","Auc"
"948","Svbp","hurdle",2.82550316713039e-122,-0.6234812,1.4456905,2.0691717,0.752
"486","Il13ra1","hurdle",3.11296059822718e-141,-2.0664643,0.6190819,2.6855462,0.751
"373","Gde1","hurdle",3.70068769799445e-79,-1.497195,1.110917,2.608112,0.75
"362","Gabarap","hurdle",8.57563133899949e-54,1.749735,2.817361,1.067626,0.75
"231","Coprs","hurdle",5.94236045663946e-130,-1.311376,0.8623115,2.1736875,0.749
"832","Sec11c","hurdle",7.89715467211698e-53,1.178841,2.408549,1.229708,0.748
"530","Krt23","hurdle",1.43772789010629e-191,-1.867855,1.409014,3.276869,0.747
"464","Hpgds","hurdle",1.91368220332302e-159,-3.1669861,0.2192182,3.3862043,0.747
"195","Cdkn1a","hurdle",2.03586249757823e-57,-1.0711544,0.8210299,1.8921843,0.747
"497","Irf7","hurdle",3.03638090640521e-86,0.5451138,2.3839553,1.8388415,0.746
"133","Bcl2l14","hurdle",2.17957908226923e-118,-1.3564639,0.8555127,2.2119766,0.746
"993","Tmem45b","hurdle",2.06162967237186e-82,0.2879225,1.809819,1.5218965,0.741
"140","Bmx","hurdle",1.12306476163188e-177,-3.2318373,0.3164923,3.5483296,0.74
"93","Asah1","hurdle",8.67774386437273e-151,-1.8060611,0.5783711,2.3844322,0.738
"826","Scand1","hurdle",8.69359614898701e-48,0.8373012,1.8462833,1.0089821,0.736
"63","Alox5","hurdle",1.18152280374705e-176,-3.2608708,0.3603763,3.6212471,0.736
"324","Fabp1","hurdle",4.34507239715025e-42,3.20734,5.176486,1.969146,0.732
"9","1810046K07Rik","hurdle",4.93895384878857e-143,-3.1069514,0.2192182,3.3261696,0.732
"629","Nebl","hurdle",1.8741615920492e-166,-3.2619992,-0.2092992,3.0527,0.731
"621","Ncf2","hurdle",6.85882797493629e-132,-2.845269,0.229772,3.075041,0.731
"150","Bub3","hurdle",8.691612340328e-55,0.3093528,1.7395527,1.4301999,0.73
"251","Ctsc","hurdle",1.01839530238047e-128,-1.5565318,0.9919627,2.5484945,0.728
"188","Cd47","hurdle",3.18385437483396e-65,0.1479494,1.5120432,1.3640938,0.728
"40","Acot7","hurdle",2.97053713675955e-87,-0.5071954,1.2101864,1.7173818,0.728
"828","Sct","hurdle",1.6369241853448e-56,-0.02325065,1.39969695,1.4229476,0.727
"59","Aldoa","hurdle",1.31600898744838e-51,1.508979,2.777453,1.268474,0.727
"593","Mien1","hurdle",1.55985458057127e-50,0.5482556,1.7395527,1.1912971,0.726
"25","AA467197","hurdle",3.32073881948115e-104,-1.143659,2.032613,3.176272,0.726
"791","Rgs2","hurdle",1.86447965416824e-123,-2.9514042,0.5824942,3.5338984,0.725
"495","Inpp5d","hurdle",2.63351083427178e-164,-3.265389827,-0.009898461,3.255491366,0.725
"756","Pygl","hurdle",4.97199798180515e-162,-3.269923,-0.1194903,3.1504327,0.723
"30","Abhd16a","hurdle",7.66903960720422e-117,-1.3251678,0.7568043,2.0819721,0.723
"887","Smdt1","hurdle",2.66649222611875e-34,2.09547,2.894009,0.798539,0.722
"748","Ptgs1","hurdle",4.85858207723719e-160,-3.25749081,0.04491715,3.30240796,0.721
"187","Cd300lf","hurdle",7.21687462359768e-165,-3.2665218,0.5824942,3.849016,0.719
"160","Calm2","hurdle",8.62091787020023e-38,2.570475,3.643067,1.072592,0.716
"58","Aldh3a2","hurdle",6.8788773290665e-75,-1.4715143,0.3699496,1.8414639,0.716
"596","Mlip","hurdle",1.09385136742086e-136,-3.19042777,0.06273576,3.25316353,0.715
"367","Galk1","hurdle",5.02887497124492e-48,-0.1888173,1.1419805,1.3307978,0.715
"432","H2afj","hurdle",2.76544334813328e-27,2.436855,3.09715,0.660295,0.711
"191","Cdhr2","hurdle",2.36395773757151e-51,-0.4803522,1.5033705,1.9837227,0.711
"1034","Tspan8","hurdle",2.45142044833639e-43,1.759882,2.974655,1.214773,0.71
"358","Ftl1","hurdle",2.08377124709726e-25,3.861952,4.590705,0.728753,0.71
"105","Atp6v0b","hurdle",7.67368734203611e-57,0.3426772,1.5857843,1.2431071,0.709
"92","Arpc5","hurdle",6.63618045970448e-64,0.463747,1.76154,1.297793,0.709
