"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Goblet","log2fold_change","Auc"
"237","Ints3","hurdle",3.53635293537109e-10,-1.850323,-1.32941,0.520913,0.548
"227","Ica1","hurdle",9.34203220502686e-16,-2.439291,-1.736966,0.702325,0.548
"159","Ffar4","hurdle",1.97050998714032e-19,-2.656275,-1.854379,0.801896,0.548
"144","Fam129b","hurdle",1.80775982370645e-12,-2.008533,-1.390702,0.617831,0.548
"528","Zfp467","hurdle",6.90246723727344e-20,-2.694647,-1.883452,0.811195,0.547
"457","Suox","hurdle",2.69675940944373e-19,-2.610638,-1.72376,0.886878,0.547
"93","Cpm","hurdle",1.07044476265698e-17,-2.607646,-1.876128,0.731518,0.547
"41","BC030870","hurdle",8.67449944176083e-10,-1.525913,-1.007982,0.517931,0.547
"530","Zfp740","hurdle",2.52839021445219e-10,-1.636665,-1.120294,0.516371,0.546
"496","Trp53i11","hurdle",1.71877903923933e-10,-1.847232,-1.28025,0.566982,0.546
"456","Stxbp1","hurdle",6.15051911375862e-40,-3.158679,-2.166447,0.992232,0.546
"342","Ppp1r13b","hurdle",2.46530154884333e-09,-1.855193,-1.349552,0.505641,0.546
"270","Map1lc3a","hurdle",2.29032523551018e-11,-1.570363,-1.020038,0.550325,0.546
"210","Gtpbp1","hurdle",3.6056470372718e-12,-2.23736,-1.622254,0.615106,0.546
"207","Gse1","hurdle",5.98250526385412e-10,-1.931229,-1.390702,0.540527,0.546
"182","Galnt4","hurdle",2.12005989824164e-11,-1.878442,-1.319443,0.558999,0.546
"158","Ffar2","hurdle",9.73799349676761e-38,-3.091311,-2.079772,1.011539,0.546
"497","Trp53inp2","hurdle",1.49613539476418e-28,-2.703403,-1.736966,0.966437,0.545
"475","Tmc6","hurdle",2.96555008063686e-11,-2.012979,-1.427696,0.585283,0.545
"469","Tfcp2l1","hurdle",4.35910108090215e-24,-2.928473,-2.11382,0.814653,0.545
"400","Sec16a","hurdle",4.33231183441981e-11,-1.996743,-1.438442,0.558301,0.545
"378","Rgs2","hurdle",3.24241450133986e-32,-2.794018,-1.603992,1.190026,0.545
"368","Rasd2","hurdle",1.58725921640273e-52,-3.250191,-2.30708,0.943111,0.545
"297","Mxd1","hurdle",1.87898890786223e-23,-2.0399466,-0.8135869,1.2263597,0.545
"245","Kif13a","hurdle",1.01872268348933e-10,-2.102797,-1.53317,0.569627,0.545
"137","F2rl1","hurdle",3.11541944138635e-10,-2.060764,-1.515995,0.544769,0.545
"126","Egr1","hurdle",6.52739199778874e-11,-2.097541,-1.510315,0.587226,0.545
"122","Dusp1","hurdle",5.44003722396567e-22,-2.811123,-1.920637,0.890486,0.545
"90","Cmtm8","hurdle",1.6945257276307e-27,-3.001202,-2.11382,0.887382,0.545
"42","Bcar3","hurdle",2.09378568259057e-09,-1.967204,-1.460178,0.507026,0.545
"38","B3gnt7","hurdle",4.79448293256517e-27,-2.962467,-2.04651,0.915957,0.545
"9","Aacs","hurdle",1.25689084728436e-15,-2.482483,-1.757003,0.72548,0.545
"352","Ptp4a3","hurdle",7.53044099178232e-10,-2.071545,-1.538941,0.532604,0.544
"336","Plpp5","hurdle",1.4604205745114e-10,-2.034412,-1.449269,0.585143,0.544
"205","Golph3l","hurdle",1.53055744568681e-09,-2.009519,-1.482246,0.527273,0.544
"181","Galnt3","hurdle",5.20866947530787e-13,-2.327393,-1.684854,0.642539,0.544
"82","Clmn","hurdle",2.30291164441179e-10,-2.028399,-1.454713,0.573686,0.544
"244","Kdelr3","hurdle",1.11058642289391e-36,-3.158679,-2.221066,0.937613,0.543
"189","Gfi1","hurdle",8.1726753038992e-56,-3.279649,-2.326912,0.952737,0.543
"17","AI661453","hurdle",6.00634983636178e-10,-2.080331,-1.544735,0.535596,0.543
"487","Tnk2","hurdle",1.92728486753933e-10,-2.25832,-1.704176,0.554144,0.542
"451","St3gal1","hurdle",5.06322259316775e-35,-3.151036,-2.221066,0.92997,0.542
"437","Sox4","hurdle",1.6468256669709e-10,0.8239412,1.3251085,0.5011673,0.542
"387","S100a14","hurdle",1.81211706303993e-27,-3.026949,-2.139893,0.887056,0.542
"331","Pkp1","hurdle",2.92803964287447e-09,-1.856968,-1.314485,0.542483,0.542
"256","Ldlr","hurdle",4.93405186117207e-09,-1.949104,-1.390702,0.558402,0.542
"383","Rph3al","hurdle",5.75144346829242e-09,-2.092304,-1.591944,0.50036,0.541
"365","Rap1gap2","hurdle",2.0898353622533e-10,-2.280781,-1.704176,0.576605,0.541
"280","Mgat3","hurdle",2.15886942790706e-12,-2.172925,-1.538941,0.633984,0.541
"250","Krt20","hurdle",2.40501503146507e-07,-0.5553157,0.1393114,0.6946271,0.541
"62","Carm1","hurdle",1.18498977863047e-08,-1.980688,-1.47117,0.509518,0.541
"514","Upb1","hurdle",8.44970987059628e-14,-2.634798,-1.97436,0.660438,0.54
"228","Ick","hurdle",2.32508799309859e-10,-2.128295,-1.585958,0.542337,0.54
"198","Gm9994","hurdle",1.60977538866281e-36,-3.187425,-2.268218,0.919207,0.54
"141","Fam110a","hurdle",2.69130358846855e-09,-2.071545,-1.527423,0.544122,0.54
"134","Esrp2","hurdle",1.63362085295826e-09,-2.229865,-1.697706,0.532159,0.54
"118","Dopey2","hurdle",3.50534564915148e-10,-2.225845,-1.67847,0.547375,0.54
"420","Slc22a23","hurdle",5.42624675363995e-13,-2.627205,-1.990085,0.63712,0.539
"418","Slc1a4","hurdle",5.35529642651584e-19,-2.811123,-2.038313,0.77281,0.539
"370","Rcan3","hurdle",3.47816804787266e-17,-2.841554,-2.122459,0.719095,0.539
"304","Nat10","hurdle",2.39085249872044e-09,-1.838438,-1.32941,0.509028,0.539
"201","Gnaq","hurdle",2.94736366667589e-09,-2.220694,-1.697706,0.522988,0.539
"161","Fgfr3","hurdle",7.11471751741148e-11,-2.417516,-1.82588,0.591636,0.539
"81","Clip1","hurdle",5.70435599406677e-10,-2.367317,-1.832952,0.534365,0.539
"315","Oasl1","hurdle",2.32062264902209e-16,-2.310877,-1.510315,0.800562,0.538
"149","Fam222a","hurdle",1.72216768899769e-11,-2.421451,-1.818843,0.602608,0.538
"142","Fam114a1","hurdle",1.59481025153102e-14,-2.778795,-2.14869,0.630105,0.538
"504","Tubb2a","hurdle",1.58167767250849e-08,-2.204783,-1.697706,0.507077,0.537
"324","Parm1","hurdle",3.03389925535473e-11,-2.369215,-1.770518,0.598697,0.537
"271","Map2k6","hurdle",6.36798082670377e-11,-2.554829,-1.97436,0.580469,0.537
"165","Fosb","hurdle",2.93998994650322e-14,-2.719461,-2.054754,0.664707,0.537
"166","Foxa1","hurdle",2.28973802932803e-08,-2.292744,-1.777323,0.515421,0.536
"461","Tab1","hurdle",1.25431059236692e-09,-2.282569,-1.757003,0.525566,0.535
"338","Pmepa1","hurdle",5.54100627870487e-08,-2.284359,-1.784161,0.500198,0.535
"231","Iffo2","hurdle",5.40756165299488e-08,-1.98991,-1.487817,0.502093,0.535
"226","Hsd17b2","hurdle",2.46561939175988e-19,-2.324935,-1.324418,1.000517,0.535
"107","Dcaf5","hurdle",6.83941585890175e-09,-2.404477,-1.890812,0.513665,0.535
"101","Cxcl16","hurdle",9.17362411966904e-24,-2.742246,-1.750293,0.991953,0.535
"64","Ccdc71l","hurdle",2.93003994791466e-14,-2.125618,-1.538941,0.586677,0.535
"44","Bcl2","hurdle",6.43159921770192e-11,-2.165207,-1.603992,0.561215,0.535
"502","Ttyh1","hurdle",1.45971896648749e-37,-3.251358,-2.277836,0.973522,0.534
"463","Tanc2","hurdle",4.31554045954269e-30,-3.208801,-2.485029,0.723772,0.534
"416","Sidt1","hurdle",1.69681642254963e-13,-2.822351,-2.193498,0.628853,0.534
"135","Etv5","hurdle",2.22406973632676e-22,-3.100745,-2.357179,0.743566,0.534
"131","Erdr1","hurdle",1.17620655083764e-06,-1.4509401,-0.9338811,0.517059,0.534
"3","2010007H06Rik","hurdle",6.34634016346116e-11,-2.582464,-1.97436,0.608104,0.534
"529","Zfp710","hurdle",1.38849297255507e-08,-2.433982,-1.898211,0.535771,0.533
"311","Nsf","hurdle",1.42553492270251e-10,-2.059742,-1.538941,0.520801,0.533
"302","Naip5","hurdle",6.814434539377e-11,-2.293946,-1.72376,0.570186,0.533
"170","Fpgs","hurdle",1.74050543384032e-09,-2.272465,-1.750293,0.522172,0.533
"355","Pwwp2b","hurdle",6.23941351318554e-09,-2.596482,-2.079772,0.51671,0.532
"309","Nfkb2","hurdle",3.4377180078718e-09,-2.558435,-2.013997,0.544438,0.532
"154","Fam83f","hurdle",3.77158574137874e-09,-2.629478,-2.11382,0.515658,0.532
"103","Cyp2s1","hurdle",1.07031225433715e-06,-2.164657,-1.659487,0.50517,0.532
"23","Anxa3","hurdle",7.98918877527465e-26,-3.125136,-2.14869,0.976446,0.532
"279","Mfsd7a","hurdle",1.8417140034854e-35,-3.264256,-2.377716,0.88654,0.531
"229","Id4","hurdle",1.15419788251987e-42,-3.296412,-2.485029,0.811383,0.531
"136","Eya3","hurdle",1.62874272737539e-07,-2.358489,-1.840059,0.51843,0.531
"111","Dfna5","hurdle",6.15665885405461e-13,-2.782164,-2.14869,0.633474,0.531
"527","Zfp46","hurdle",6.70541026268134e-09,-2.704202,-2.193498,0.510704,0.53
"430","Slc7a6","hurdle",2.17681480996862e-10,-2.781321,-2.268218,0.513103,0.53
"395","Scnn1a","hurdle",3.32121713029259e-16,-3.047072,-2.40908,0.637992,0.529
"357","R3hdml","hurdle",7.62378947776005e-38,-3.290403,-2.485029,0.805374,0.529
"353","Ptprr","hurdle",6.59203097998045e-24,-3.196387,-2.462918,0.733469,0.529
"56","Capn5","hurdle",8.91401384472862e-11,-2.620404,-2.054754,0.56565,0.529
"35","Atp2c2","hurdle",2.52598688023314e-08,-2.626447,-2.105232,0.521215,0.529
"344","Pqlc3","hurdle",3.27707514548249e-13,-2.993371,-2.377716,0.615655,0.527
"289","Mptx1","hurdle",8.07488065035659e-38,-3.2892043,-0.8926584,2.3965459,0.527
"327","Pdlim7","hurdle",7.37475092075095e-20,-3.206536,-2.62532,0.581216,0.526
"313","Nucb2","hurdle",3.73352271956518e-09,-2.771244,-2.202629,0.568615,0.526
"143","Fam117a","hurdle",2.45757425629765e-13,-3.05622,-2.496213,0.560007,0.526
"114","Dmpk","hurdle",7.69368568071142e-09,-2.620404,-2.11382,0.506584,0.526
"16","Ahnak","hurdle",1.28708866085189e-05,-2.233319,-1.730348,0.502971,0.526
"196","Gm379","hurdle",3.87068971019905e-38,-3.313373,-2.541835,0.771538,0.525
"193","Gm12511","hurdle",2.81725485019001e-27,-3.266613,-2.55347,0.713143,0.525
"526","Zfand2a","hurdle",3.23789487442832e-09,-2.935958,-2.430375,0.505583,0.524
"283","Micalcl","hurdle",1.23161009587756e-16,-3.161967,-2.530294,0.631673,0.524
"464","Tbc1d2","hurdle",1.57582610690261e-11,-3.074691,-2.565199,0.509492,0.523
"443","Sprr2a3","hurdle",3.03774014136207e-10,-2.682005,-1.597955,1.08405,0.523
"307","Neurog3","hurdle",6.45287229982923e-15,-2.69862,-1.36998,1.32864,0.523
"120","Dpysl2","hurdle",1.45173591361494e-14,-3.158679,-2.637651,0.521028,0.523
"31","Atf3","hurdle",6.82267504736201e-11,-2.858346,-2.239742,0.618604,0.523
"8","9530053A07Rik","hurdle",7.15002793227705e-24,-3.273709,-2.700937,0.572772,0.523
"414","Sh3pxd2a","hurdle",4.0844243362125e-17,-3.220179,-2.688056,0.532123,0.522
"372","Rcor2","hurdle",2.1822417242821e-11,-3.071596,-2.518844,0.552752,0.522
"292","Mt3","hurdle",1.80275534766068e-21,-3.249025,-2.60097,0.648055,0.522
"51","C2cd4b","hurdle",6.05106738076161e-11,-3.027949,-2.462918,0.565031,0.522
"333","Plaur","hurdle",5.67039933891828e-23,-3.270157,-2.613094,0.657063,0.521
"183","Galnt5","hurdle",2.25729970376457e-20,-3.261902,-2.753644,0.508258,0.521
"493","Trim15","hurdle",7.9380026473824e-12,-3.096544,-2.496213,0.600331,0.52
"479","Tmem140","hurdle",2.7107455315479e-10,-3.080901,-2.541835,0.539066,0.52
"348","Proc","hurdle",5.04666614937398e-20,-3.272524,-2.72705,0.545474,0.52
"71","Cdc42ep3","hurdle",1.92182626932736e-20,-3.273709,-2.688056,0.585653,0.52
"4","2010109I03Rik","hurdle",2.29577807253496e-13,-2.284956,-1.309544,0.975412,0.52
"191","Glt1d1","hurdle",4.34396975729016e-18,-3.268975,-2.767128,0.501847,0.519
"57","Capn8","hurdle",5.74164338316637e-20,-3.273709,-2.713935,0.559774,0.519
"408","Serpina1b","hurdle",5.43969713838789e-16,-3.235107,-2.700937,0.53417,0.518
"376","Retnlb","hurdle",1.22329879932329e-21,-3.279649,-2.377716,0.901933,0.518
"150","Fam3b","hurdle",7.77344301709167e-07,-2.583198,-2.079772,0.503426,0.518
"442","Sprr1a","hurdle",1.05220421479316e-18,-3.259552,-2.139893,1.119659,0.516
"76","Ces1c","hurdle",5.72441885290167e-22,-3.313373,-2.80835,0.505023,0.515
"195","Gm26532","hurdle",3.16891954460913e-11,-3.24786,-2.740286,0.507574,0.514
"26","Areg","hurdle",4.61257228291501e-06,-3.020966,-2.430375,0.590591,0.513
"236","Insm1","hurdle",8.65317588402384e-08,-3.111299,-2.518844,0.592455,0.512
