"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.CycISC","log2fold_change","Auc"
"67","Apitd1","hurdle",1.19326409567931e-92,-1.6393316,-0.7947829,0.8445487,0.591
"60","Ankrd11","hurdle",2.15143460332902e-62,-0.3288,0.1901152,0.5189152,0.591
"24","A430005L14Rik","hurdle",4.06050800067825e-61,-0.3262726,0.1905126,0.5167852,0.591
"1351","Tnfaip8l1","hurdle",1.4737032367463e-94,-1.5909241,-0.6996692,0.8912549,0.59
"1335","Tmed5","hurdle",2.1316483851905e-76,-1.2466925,-0.5375544,0.7091381,0.59
"1302","Tcf3","hurdle",8.97865188460917e-62,-0.4941789,0.02659421,0.52077311,0.59
"1089","Rfc3","hurdle",2.78511833833204e-70,-0.9885191,-0.3421315,0.6463876,0.59
"970","Polr2d","hurdle",3.19921782970508e-73,-1.0519901,-0.3858936,0.6660965,0.59
"845","Nop16","hurdle",3.38465972412275e-68,-0.9023081,-0.2791561,0.623152,0.59
"768","Mrpl49","hurdle",1.2489780313294e-66,-0.66224477,-0.09065712,0.57158765,0.59
"707","Marcks","hurdle",6.44296275008672e-70,-0.9327422,-0.3097381,0.6230041,0.59
"675","Lgr5","hurdle",8.48081657244925e-81,-1.294535,-0.573537,0.720998,0.59
"324","Ddx46","hurdle",1.82395667757904e-67,-0.7900911,-0.179261,0.6108301,0.59
"321","Ddx18","hurdle",3.39317999373451e-68,-0.7933095,-0.1720916,0.6212179,0.59
"256","Chtop","hurdle",2.041807731558e-63,-0.60033557,-0.04176684,0.55856873,0.59
"95","Atrx","hurdle",8.61585544549546e-77,-1.2273379,-0.5101755,0.7171624,0.59
"1483","Zfp91","hurdle",2.92702281254976e-62,-0.6924713,-0.1412625,0.5512088,0.589
"1360","Tpd52l2","hurdle",3.17327627661911e-67,-0.8606385,-0.252986,0.6076525,0.589
"1311","Terf1","hurdle",3.01913567033417e-98,-1.8510491,-0.9325067,0.9185424,0.589
"1204","Smarcb1","hurdle",7.6491583060566e-65,-0.6892201,-0.105702,0.5835181,0.589
"1174","Sf3b3","hurdle",3.51744214860371e-65,-0.8413565,-0.247055,0.5943015,0.589
"1093","Rfxap","hurdle",6.06234496850537e-75,-1.1735782,-0.4662941,0.7072841,0.589
"616","Ilkap","hurdle",5.1188209353339e-63,-0.566443954,-0.003540803,0.562903151,0.589
"542","Hddc2","hurdle",2.30474787937224e-67,-0.9491004,-0.3398344,0.609266,0.589
"421","Exosc3","hurdle",2.1556377838559e-62,-0.6585717,-0.1042392,0.5543325,0.589
"1318","Thrap3","hurdle",7.16938965153898e-61,-0.64712307,-0.09597769,0.55114538,0.588
"1143","Rtn4","hurdle",2.09126572419373e-71,-1.1156941,-0.4365366,0.6791575,0.588
"1108","Rnf26","hurdle",3.87762845617996e-93,-1.825016,-0.9675423,0.8574737,0.588
"1062","Rassf4","hurdle",5.23344929774177e-75,-1.2466925,-0.5395301,0.7071624,0.588
"1050","Rad23b","hurdle",4.43165382415556e-58,-0.2974262,0.2027767,0.5002029,0.588
"1041","Puf60","hurdle",3.96294815827036e-60,-0.50117889,0.02258264,0.52376153,0.588
"980","Ppid","hurdle",3.68826781444158e-63,-0.7656525,-0.1890483,0.5766042,0.588
"896","Oxct1","hurdle",1.11936288380574e-60,-0.5241663,0.01945479,0.54362109,0.588
"850","Noxa1","hurdle",1.26005068610308e-68,-0.9602104,-0.3013331,0.6588773,0.588
"788","Mybbp1a","hurdle",3.5204853093808e-64,-0.8135888,-0.2225133,0.5910755,0.588
"784","Mthfd2","hurdle",6.16204373008297e-76,-1.3287611,-0.5994071,0.729354,0.588
"757","Mpzl1","hurdle",7.01907050130459e-66,-0.9180303,-0.3080532,0.6099771,0.588
"710","Mat2b","hurdle",4.48671806080105e-62,-0.53265777,0.01362789,0.54628566,0.588
"672","Larp7","hurdle",3.3328105731323e-73,-1.2313336,-0.5395301,0.6918035,0.588
"628","Iqgap3","hurdle",2.55800091272517e-141,-2.476481,-1.331709,1.144772,0.588
"618","Imp4","hurdle",4.71714497339456e-61,-0.52038361,0.02258264,0.54296625,0.588
"474","G3bp2","hurdle",1.49922105689062e-68,-0.67653583,-0.06197627,0.61455956,0.588
"401","Eprs","hurdle",1.34803869376832e-61,-0.59939634,-0.04083372,0.55856262,0.588
"131","Brd2","hurdle",8.04312200950149e-59,-0.2397608,0.2791154,0.5188762,0.588
"125","Bok","hurdle",1.22295154678713e-63,-0.7751662,-0.1751598,0.6000064,0.588
"48","Ak6","hurdle",5.84953571512686e-70,-1.0574613,-0.4049771,0.6524842,0.588
"15","2810004N23Rik","hurdle",4.18311351399129e-64,-0.793578,-0.2151262,0.5784518,0.588
"6","1110008L16Rik","hurdle",3.05433876072438e-60,-0.54210158,0.01272935,0.55483093,0.588
"1411","Ube2k","hurdle",7.60477361223262e-59,-0.296094,0.2211742,0.5172682,0.587
"1245","Spag5","hurdle",1.16339229441778e-124,-2.340797,-1.283454,1.057343,0.587
"1003","Prpf31","hurdle",3.25101722391714e-72,-1.2633319,-0.5775911,0.6857408,0.587
"987","Ppp1cc","hurdle",1.69223702834733e-69,-1.1791806,-0.5290243,0.6501563,0.587
"937","Picalm","hurdle",2.81577892223426e-75,-1.3075145,-0.5857335,0.721781,0.587
"644","Khdrbs1","hurdle",2.16505491688801e-62,-0.7799467,-0.2182875,0.5616592,0.587
"557","Hist1h2an","hurdle",1.97832403629201e-165,-2.692822,-1.404257,1.288565,0.587
"535","Haus1","hurdle",1.09602766255298e-95,-1.8895656,-0.9952924,0.8942732,0.587
"497","Gnl3","hurdle",3.76653911332353e-65,-0.8942229,-0.2808076,0.6134153,0.587
"370","Eif1a","hurdle",8.97998096328454e-59,-0.45818885,0.07215863,0.53034748,0.587
"90","Atad2","hurdle",3.35156307792159e-102,-1.98508,-1.039342,0.945738,0.587
"1481","Zfp703","hurdle",3.64374112106932e-59,-0.63504255,-0.06671699,0.56832556,0.586
"1426","Utp3","hurdle",3.16558788454452e-74,-1.2752822,-0.5574339,0.7178483,0.586
"1111","Rnf43","hurdle",2.87004176315118e-67,-1.1066578,-0.4488611,0.6577967,0.586
"1038","Ptrh2","hurdle",2.70514907842284e-59,-0.6676489,-0.1209055,0.5467434,0.586
"893","Orc6","hurdle",2.56265098038545e-68,-1.1083269,-0.4414537,0.6668732,0.586
"847","Nop58","hurdle",3.91869599756513e-63,-0.9043365,-0.2991,0.6052365,0.586
"787","Myb","hurdle",1.86144364637017e-66,-1.0844758,-0.4500993,0.6343765,0.586
"646","Kif15","hurdle",1.35988783923384e-129,-2.434001,-1.342017,1.091984,0.586
"285","Cops5","hurdle",9.32713631128704e-57,-0.46437455,0.05480374,0.51917829,0.586
"204","Cdkn2aipnl","hurdle",1.62205797094016e-64,-0.9925209,-0.3758572,0.6166637,0.586
"1416","Uchl5","hurdle",4.21016908789384e-65,-1.0202198,-0.3758572,0.6443626,0.585
"1029","Psmg2","hurdle",5.81661767792919e-67,-1.1506954,-0.5050189,0.6456765,0.585
"1010","Prrc2a","hurdle",3.793812921412e-58,-0.65564,-0.1037519,0.5518881,0.585
"895","Oxa1l","hurdle",1.18662204361996e-55,-0.3782854,0.1284071,0.5066925,0.585
"716","Mcm5","hurdle",5.86962202013138e-66,-1.0507058,-0.4067792,0.6439266,0.585
"683","Lmo7","hurdle",2.34369163051262e-65,-0.9823842,-0.3432814,0.6391028,0.585
"498","Got2","hurdle",1.47954679200626e-61,-0.8300199,-0.25569,0.5743299,0.585
"475","G6pc3","hurdle",3.55343317179522e-59,-0.60245106,-0.06339685,0.53905421,0.585
"279","Cnih1","hurdle",2.87884469371314e-56,-0.57196078,-0.06197627,0.50998451,0.585
"205","Cdkn2c","hurdle",1.48745230508748e-92,-1.899358,-1.050568,0.84879,0.585
"181","Cdc123","hurdle",2.23363746508005e-60,-0.3829245,0.151858,0.5347825,0.585
"32","Acer2","hurdle",2.29470057757327e-72,-1.327983,-0.6215581,0.7064249,0.585
"1161","Senp6","hurdle",5.59892697433012e-55,-0.5623201,-0.0413002,0.5210199,0.584
"1157","Sdhaf1","hurdle",9.65049464833243e-54,-0.2266489,0.278368,0.5050169,0.584
"1127","Rpp14","hurdle",2.19720654895071e-63,-1.0474999,-0.4304136,0.6170863,0.584
"947","Pkn2","hurdle",7.27457901105595e-61,-0.9209607,-0.338114,0.5828467,0.584
"913","Pbx1","hurdle",7.22575344779744e-64,-1.0376068,-0.3995843,0.6380225,0.584
"862","Nsun2","hurdle",1.16023164439805e-53,-0.496362749,0.007326325,0.503689074,0.584
"828","Ngdn","hurdle",3.641262503031e-57,-0.6561282,-0.1223853,0.5337429,0.584
"827","Nfyb","hurdle",7.02316240816556e-77,-1.5923249,-0.8403278,0.7519971,0.584
"545","Hells","hurdle",2.55470949882318e-68,-1.1465736,-0.5050189,0.6415547,0.584
"462","Frg1","hurdle",7.10219767519721e-62,-0.7522812,-0.1741364,0.5781448,0.584
"284","Commd2","hurdle",3.06263194792823e-56,-0.5719608,-0.0506617,0.5212991,0.584
"149","Caprin1","hurdle",2.02984613719439e-56,-0.60198068,-0.07624543,0.52573525,0.584
"118","Bclaf1","hurdle",2.26812953692973e-60,-0.8553032,-0.2676482,0.587655,0.584
"108","Baz1b","hurdle",2.65795162631631e-63,-1.0395163,-0.4140102,0.6255061,0.584
"1458","Yeats4","hurdle",3.56628246722989e-56,-0.6221082,-0.0786374,0.5434708,0.583
"1433","Vps36","hurdle",7.52815669363398e-58,-0.759607,-0.1849193,0.5746877,0.583
"1422","Uri1","hurdle",1.95979855544704e-62,-1.1390474,-0.5179452,0.6211022,0.583
"1353","Tnfrsf19","hurdle",9.56627146466979e-95,-1.991227,-1.07902,0.912207,0.583
"1321","Tia1","hurdle",2.20612742482763e-58,-0.7951902,-0.2267516,0.5684386,0.583
"1264","Srsf9","hurdle",1.86550082493114e-56,-0.7614442,-0.2103973,0.5510469,0.583
"680","Lipt2","hurdle",2.79013851756982e-61,-0.9741431,-0.3519352,0.6222079,0.583
"513","Gtf3c6","hurdle",1.41474536265196e-57,-0.64591046,-0.09404067,0.55186979,0.583
"436","Fam195b","hurdle",6.91848747608116e-61,-1.0039716,-0.3888588,0.6151128,0.583
"161","Ccdc3","hurdle",5.21252891667294e-99,-2.067102,-1.125745,0.941357,0.583
"97","Aunip","hurdle",2.16959726550567e-119,-2.380583,-1.304577,1.076006,0.583
"87","Aspm","hurdle",3.50762080165122e-143,-2.61768,-1.41873,1.19895,0.583
"1312","Tex30","hurdle",7.45027393956034e-74,-1.5732972,-0.8257893,0.7475079,0.582
"1252","Srpk1","hurdle",2.6157922083879e-54,-0.6468805,-0.1298073,0.5170732,0.582
"1102","Rnaseh2b","hurdle",3.40152496335981e-67,-1.3338291,-0.6454723,0.6883568,0.582
"1051","Rad50","hurdle",8.81494068351601e-76,-1.6495028,-0.8890359,0.7604669,0.582
"906","Parl","hurdle",3.94708731746842e-55,-0.59494336,-0.06102999,0.53391337,0.582
"702","Maf1","hurdle",2.02210382710993e-54,-0.3196834,0.1913069,0.5109903,0.582
"540","Hdac2","hurdle",9.35371784294085e-57,-0.7496739,-0.1818302,0.5678437,0.582
"121","Blnk","hurdle",1.26240879593187e-56,-0.8054428,-0.2384713,0.5669715,0.582
"72","Arhgap11a","hurdle",1.14415242203105e-95,-2.039453,-1.128716,0.910737,0.582
"69","Apopt1","hurdle",2.87297824405806e-56,-0.7403263,-0.1911173,0.549209,0.582
"37","Actn1","hurdle",8.61447699502043e-55,-0.7468113,-0.2331324,0.5136789,0.582
"1445","Wdr77","hurdle",8.33759860742809e-59,-1.0252562,-0.4243165,0.6009397,0.581
"1430","Vbp1","hurdle",2.74765245972891e-67,-1.1939914,-0.5127607,0.6812307,0.581
"1419","Uhrf2","hurdle",8.87046480040697e-65,-1.3570563,-0.6974617,0.6595946,0.581
"1350","Tmx2","hurdle",1.37919376637664e-58,-1.0133232,-0.4340843,0.5792389,0.581
"1255","Srrt","hurdle",6.98521846352187e-59,-1.0871065,-0.4934834,0.5936231,0.581
"1040","Pttg1","hurdle",2.16178207615767e-56,-0.8038191,-0.2432934,0.5605257,0.581
"1008","Prps2","hurdle",8.3161647932968e-65,-1.3369567,-0.6755713,0.6613854,0.581
"873","Nuf2","hurdle",1.7406758021557e-122,-2.487734,-1.4358,1.051934,0.581
"685","Lonp1","hurdle",1.01099321313352e-55,-0.9641343,-0.4273618,0.5367725,0.581
"446","Fbxo22","hurdle",6.19745344628489e-55,-0.7696089,-0.2363334,0.5332755,0.581
"354","E2f4","hurdle",1.94004807864359e-57,-1.025572,-0.44577,0.579802,0.581
"266","Cks1brt","hurdle",3.69827621384551e-109,-2.336878,-1.344317,0.992561,0.581
"248","Chd1","hurdle",1.51118524958626e-61,-0.986062,-0.3705719,0.6154901,0.581
"124","Bod1","hurdle",3.6301653304787e-57,-0.9496988,-0.3723315,0.5773673,0.581
"1475","Zfp422","hurdle",2.54660382207445e-57,-1.0271495,-0.4482423,0.5789072,0.58
"1434","Vps72","hurdle",1.80635979513595e-54,-0.7874146,-0.2459792,0.5414354,0.58
"1418","Uhrf1","hurdle",2.07600954958482e-69,-1.4128908,-0.7271754,0.6857154,0.58
"1333","Tmed1","hurdle",8.5526745321111e-67,-1.4186777,-0.7137285,0.7049492,0.58
"1153","Scaf11","hurdle",1.12585381267434e-54,-0.8744898,-0.3187578,0.555732,0.58
"1136","Rrp15","hurdle",5.41648701550066e-54,-0.758034,-0.2009857,0.5570483,0.58
"1110","Rnf4","hurdle",5.89141021524867e-53,-0.771988,-0.2438301,0.5281579,0.58
"1042","Pum2","hurdle",6.60206732159809e-57,-1.0436623,-0.4625407,0.5811216,0.58
"1004","Prpf38a","hurdle",5.53298720742639e-61,-1.072697,-0.458174,0.614523,0.58
"957","Poc1a","hurdle",5.1263347130218e-88,-1.9974,-1.118836,0.878564,0.58
"908","Parp2","hurdle",6.99028387942897e-64,-1.3346104,-0.6821037,0.6525067,0.58
"839","Nol12","hurdle",3.24262330637323e-56,-1.024941,-0.4507188,0.5742222,0.58
"817","Ndufaf2","hurdle",2.33616390138351e-51,-0.7496739,-0.2427568,0.5069171,0.58
"808","Ncapg","hurdle",3.3080767511889e-136,-2.642617,-1.47056,1.172057,0.58
"770","Mrps11","hurdle",3.57107329751803e-53,-0.7981506,-0.2632883,0.5348623,0.58
"732","Mettl1","hurdle",5.44044016567417e-53,-0.7197681,-0.20255,0.5172181,0.58
"730","Memo1","hurdle",2.92704473590301e-61,-1.2481638,-0.6229539,0.6252099,0.58
"723","Med19","hurdle",5.75784381504201e-69,-1.4058948,-0.6952577,0.7106371,0.58
"659","Knop1","hurdle",4.39846805820233e-57,-1.0687914,-0.4902954,0.578496,0.58
"604","Id2","hurdle",2.67113312276173e-61,-1.107993,-0.4304136,0.6775794,0.58
"578","Hnrnpa0","hurdle",4.29219220706731e-54,-0.7598693,-0.1983822,0.5614871,0.58
"494","Gmcl1","hurdle",1.2470037110227e-60,-1.1288473,-0.5018053,0.627042,0.58
"257","Cinp","hurdle",4.9935177745469e-72,-1.659746,-0.929913,0.729833,0.58
"4","1110004E09Rik","hurdle",9.49176589586349e-56,-0.9568985,-0.3817525,0.575146,0.58
"1488","Znrd1","hurdle",1.14587565646581e-53,-0.9020186,-0.352514,0.5495046,0.579
"1474","Zfp36l1","hurdle",4.55288467821773e-56,-1.013636,-0.418851,0.594785,0.579
"1314","Tfdp2","hurdle",5.24055331533802e-57,-1.1346185,-0.5382127,0.5964058,0.579
"1282","Sugt1","hurdle",1.62984982731163e-51,-0.6984928,-0.1736249,0.5248679,0.579
"1084","Rere","hurdle",7.04646679452121e-53,-0.8710853,-0.3198893,0.551196,0.579
"902","Pak1ip1","hurdle",1.61047070629096e-56,-0.582362,-0.0516012,0.5307608,0.579
"849","Notch1","hurdle",3.66391305088153e-72,-1.6461044,-0.8932403,0.7528641,0.579
"577","Hn1l","hurdle",1.46523152793136e-57,-1.1582827,-0.5891398,0.5691429,0.579
"539","Hcfc1","hurdle",4.20218169998717e-62,-1.3175194,-0.6597269,0.6577925,0.579
"522","H2-DMb1","hurdle",4.6091288840017e-51,-0.4957072,0.0442897,0.5399969,0.579
"335","Dnajb6","hurdle",2.88108522458031e-55,-0.9787157,-0.4103902,0.5683255,0.579
"1466","Zc3h15","hurdle",1.58735461000586e-49,-0.506011159,-0.002632076,0.503379083,0.578
"1442","Wdr18","hurdle",4.93466262803629e-52,-0.8561443,-0.3097381,0.5464062,0.578
"1396","Txndc12","hurdle",3.69253055961738e-55,-1.067492,-0.4871144,0.5803776,0.578
"1297","Taf1d","hurdle",5.82926545978328e-58,-1.2489,-0.65615,0.59275,0.578
"1234","Snx1","hurdle",1.91417700702658e-53,-0.8945108,-0.3363956,0.5581152,0.578
"1159","Seh1l","hurdle",2.04744789368337e-52,-0.9750565,-0.4389931,0.5360634,0.578
"1148","Sac3d1","hurdle",1.10714574564917e-52,-0.8187717,-0.2698332,0.5489385,0.578
"789","Mycl","hurdle",3.23771596652417e-62,-1.3546771,-0.6734005,0.6812766,0.578
"786","Mxd3","hurdle",2.35855999433745e-129,-2.608202,-1.446882,1.16132,0.578
"744","Mis18bp1","hurdle",6.81664377500986e-128,-2.605371,-1.45556,1.149811,0.578
"654","Kifc1","hurdle",5.52961968943796e-112,-2.441556,-1.416308,1.025248,0.578
"561","Hist2h2ac","hurdle",2.37247143785578e-139,-2.678865,-1.405457,1.273408,0.578
"541","Hdac3","hurdle",1.25045522405213e-52,-0.7328401,-0.1905998,0.5422403,0.578
"238","Cers6","hurdle",5.31960267441278e-49,-0.59845773,-0.08631848,0.51213925,0.578
"152","Casc5","hurdle",2.44519902631871e-137,-2.688821,-1.542697,1.146124,0.578
"1437","Wbp11","hurdle",3.45821319554599e-51,-0.9714065,-0.4273618,0.5440447,0.577
"1251","Srm","hurdle",8.99193008694523e-51,-0.7682889,-0.2088244,0.5594645,0.577
"1235","Snx10","hurdle",1.39536675291754e-59,-1.3342197,-0.6974617,0.636758,0.577
"1032","Psrc1","hurdle",8.73007259069308e-118,-2.491214,-1.371041,1.120173,0.577
"881","Nup62","hurdle",1.88618694880019e-55,-1.160359,-0.5694944,0.5908646,0.577
"804","Nav1","hurdle",7.26461801384106e-77,-1.852727,-1.047753,0.804974,0.577
"731","Mesdc2","hurdle",4.20546950036311e-52,-1.0262025,-0.4864791,0.5397234,0.577
"592","Hnrnpul1","hurdle",6.35521245697666e-54,-1.0890828,-0.5140551,0.5750277,0.577
"478","Gart","hurdle",2.04795222050932e-52,-1.0214772,-0.4763513,0.5451259,0.577
"426","Faap20","hurdle",2.21218121864378e-48,-0.7387742,-0.2357994,0.5029748,0.577
"360","Eed","hurdle",5.47209621575563e-65,-1.3867276,-0.7026176,0.68411,0.577
"1489","Zrsr2","hurdle",1.57381770124892e-55,-1.0933738,-0.4966785,0.5966953,0.576
"1459","Yif1b","hurdle",2.03128703775933e-50,-0.9756657,-0.4396078,0.5360579,0.576
"1327","Timm21","hurdle",3.22497481957743e-54,-1.1704364,-0.5939221,0.5765143,0.576
"1087","Rfc1","hurdle",1.30416722374213e-52,-1.02368,-0.455063,0.568617,0.576
"1053","Rad51ap1","hurdle",1.4201987012311e-104,-2.410747,-1.417518,0.993229,0.576
"1025","Psmd11","hurdle",9.42710329221335e-48,-0.6345614,-0.131793,0.5027684,0.576
"944","Pitx2","hurdle",1.00855877495091e-57,-1.2911188,-0.6547218,0.636397,0.576
"907","Parp1","hurdle",1.26713603874641e-56,-1.2648203,-0.6518694,0.6129509,0.576
"820","Nek2","hurdle",1.17952728515894e-96,-2.246619,-1.31921,0.927409,0.576
"533","Hacd2","hurdle",1.42775006796686e-49,-0.9011503,-0.3694001,0.5317502,0.576
"329","Diablo","hurdle",2.73222572358261e-50,-0.9215474,-0.3894526,0.5320948,0.576
"22","9130401M01Rik","hurdle",6.81126824951757e-60,-1.3997499,-0.7475837,0.6521662,0.576
"1402","Uba2","hurdle",2.29082193192089e-49,-0.994989,-0.4631656,0.5318234,0.575
"1171","Sf3a3","hurdle",2.27969883015643e-52,-1.1214128,-0.5441505,0.5772623,0.575
"1126","Rpl6l","hurdle",6.27452977458774e-48,-0.8541825,-0.3358233,0.5183592,0.575
"763","Mrpl16","hurdle",6.1684299317369e-51,-0.9318552,-0.3776232,0.554232,0.575
"656","Klhdc2","hurdle",2.04205739058923e-50,-0.8793266,-0.3255598,0.5537668,0.575
"653","Kif4","hurdle",2.18189329996209e-111,-2.4982,-1.49208,1.00612,0.575
"629","Irf2bp1","hurdle",2.34005993376511e-64,-1.6225375,-0.9178704,0.7046671,0.575
"471","Fzr1","hurdle",8.56932408103339e-58,-1.4157813,-0.7806939,0.6350874,0.575
"430","Faim","hurdle",9.26798646513646e-55,-1.2179374,-0.6104401,0.6074973,0.575
"1469","Zfhx3","hurdle",5.95067266248816e-61,-1.5305973,-0.8387051,0.6918922,0.574
"1394","Tubg1","hurdle",3.80473210253297e-71,-1.858895,-1.075194,0.783701,0.574
"1288","Suz12","hurdle",2.47595715205262e-61,-1.6045225,-0.9247395,0.679783,0.574
"1268","Ssbp4","hurdle",2.79832699682455e-47,-0.8637364,-0.3467367,0.5169997,0.574
"1261","Srsf4","hurdle",5.83892206169303e-49,-1.0411095,-0.4985989,0.5425106,0.574
"955","Pnpla2","hurdle",2.44679259034986e-49,-0.8971053,-0.3600592,0.5370461,0.574
"954","Pno1","hurdle",2.72912305353349e-48,-1.0328441,-0.4947606,0.5380835,0.574
"879","Nup37","hurdle",7.87354380824006e-81,-1.999257,-1.113921,0.885336,0.574
"865","Ntmt1","hurdle",4.30344761904332e-49,-1.0474999,-0.5043756,0.5431243,0.574
"696","Luc7l","hurdle",1.12913784736517e-53,-1.186567,-0.5769146,0.6096524,0.574
"626","Ipo5","hurdle",2.35689390211481e-49,-1.0613359,-0.5316436,0.5296923,0.574
"503","Gpsm2","hurdle",3.05279792061466e-61,-1.5088301,-0.8249858,0.6838443,0.574
"438","Fam49b","hurdle",9.55291539282709e-48,-0.9808545,-0.4488611,0.5319934,0.574
"411","Esrp1","hurdle",3.1276019142297e-51,-1.1795315,-0.6271494,0.5523821,0.574
"399","Ephb2","hurdle",1.77576839540185e-49,-1.025887,-0.4973183,0.5285687,0.574
"168","Ccnf","hurdle",3.48187443453595e-115,-2.556248,-1.50489,1.051358,0.574
"1401","U2surp","hurdle",5.49859254454886e-46,-0.9428326,-0.424925,0.5179076,0.573
"1382","Tspan12","hurdle",7.53431083549889e-60,-1.5481601,-0.8748319,0.6733282,0.573
"1214","Smchd1","hurdle",5.52991691703216e-64,-1.728418,-1.00709,0.721328,0.573
"1163","Sept7","hurdle",1.55238353629842e-53,-1.1126757,-0.5127607,0.599915,0.573
"416","Evl","hurdle",4.88421820587841e-68,-1.828864,-1.073285,0.755579,0.573
"255","Chtf8","hurdle",3.07901780758039e-51,-1.2485319,-0.6813764,0.5671555,0.573
"183","Cdc25b","hurdle",2.87174385713634e-92,-2.247354,-1.29231,0.955044,0.573
"1378","Tsen15","hurdle",6.71821696845565e-58,-1.4908658,-0.8273974,0.6634684,0.572
"1322","Tial1","hurdle",1.31606934354686e-46,-1.0616592,-0.5362388,0.5254204,0.572
"1145","Ruvbl1","hurdle",5.83948940043694e-61,-1.5737583,-0.8831702,0.6905881,0.572
"747","Mllt10","hurdle",4.83408035686246e-48,-1.0632771,-0.5082396,0.5550375,0.572
"627","Ipo7","hurdle",5.77627038956334e-46,-0.9799375,-0.4637908,0.5161467,0.572
"598","Hspa14","hurdle",2.87604319108428e-53,-1.3956678,-0.7869387,0.6087291,0.572
"490","Glul","hurdle",1.60966394101005e-45,-0.984835,-0.4776134,0.5072216,0.572
"415","Evi5","hurdle",3.44244257208801e-50,-1.1876253,-0.5925541,0.5950712,0.572
"290","Cox18","hurdle",3.67937634051474e-54,-1.4437455,-0.8249858,0.6187597,0.572
"135","Brix1","hurdle",1.13074099300707e-48,-1.1897442,-0.6299532,0.559791,0.572
"23","9530068E07Rik","hurdle",1.00079040139507e-48,-1.0864484,-0.5401892,0.5462592,0.572
"1478","Zfp637","hurdle",1.99561455393819e-46,-1.082834,-0.565463,0.517371,0.571
"1436","Wasf2","hurdle",1.29253149326415e-44,-0.7225776,-0.2177601,0.5048175,0.571
"1423","Urod","hurdle",6.73864766972329e-47,-0.9493996,-0.4164286,0.532971,0.571
"1341","Tmem171","hurdle",2.89874028379902e-44,-0.9289026,-0.4194573,0.5094453,0.571
"1340","Tmem165","hurdle",7.67104768469081e-45,-1.0671673,-0.5621121,0.5050552,0.571
"1337","Tmem107","hurdle",1.02293676015861e-51,-1.361827,-0.779137,0.58269,0.571
"1233","Snw1","hurdle",4.14041194828183e-47,-0.8547428,-0.3289729,0.5257699,0.571
"1012","Prss23","hurdle",3.50779218656621e-59,-1.6282735,-0.9377081,0.6905654,0.571
"1000","Prmt5","hurdle",4.29970719290776e-50,-1.3163614,-0.7324388,0.5839226,0.571
"891","Opa3","hurdle",7.8283016749879e-47,-1.1634789,-0.6257496,0.5377293,0.571
"812","Ncbp2","hurdle",4.22283730210083e-47,-1.1056573,-0.5668055,0.5388518,0.571
"623","Ing2","hurdle",6.64393351948918e-50,-1.240822,-0.65615,0.584672,0.571
"507","Gspt1","hurdle",1.09879532689367e-49,-1.1465736,-0.5587689,0.5878047,0.571
"334","Dnaaf2","hurdle",1.31754658529056e-58,-1.6651408,-0.9934859,0.6716549,0.571
"291","Cox6b2","hurdle",1.1566476896333e-64,-1.7595545,-0.9907803,0.7687742,0.571
"191","Cdca4","hurdle",1.18928778332628e-67,-1.920902,-1.151701,0.769201,0.571
"150","Car12","hurdle",8.26265884378199e-61,-1.736656,-1.043074,0.693582,0.571
"122","Blvra","hurdle",2.5173508496995e-52,-1.1291862,-0.5501129,0.5790733,0.571
"114","Bcl11b","hurdle",1.26612821658469e-46,-1.0636009,-0.5147027,0.5488982,0.571
"86","Asns","hurdle",1.54622822494282e-48,-1.217577,-0.6879351,0.5296419,0.571
"1477","Zfp593","hurdle",5.04033611171355e-45,-1.051348,-0.5238,0.527548,0.57
"1405","Ubap2","hurdle",1.98961215357367e-49,-1.339699,-0.7521584,0.5875406,0.57
"1246","Spata24","hurdle",1.22210981248804e-81,-2.259173,-1.365189,0.893984,0.57
"1220","Snhg6","hurdle",2.94045009957365e-45,-1.11771,-0.587095,0.530615,0.57
"1196","Slc25a17","hurdle",3.13935057822576e-47,-1.2463249,-0.6893966,0.5569283,0.57
"1186","Shmt2","hurdle",1.24761506508238e-50,-1.2854429,-0.6777455,0.6076974,0.57
"1181","Sgf29","hurdle",1.12592599148781e-46,-1.1798825,-0.6257496,0.5541329,0.57
"1141","Rsrc1","hurdle",5.85580768608018e-58,-1.6311501,-0.9534257,0.6777244,0.57
"1119","Rpf1","hurdle",1.16788637928895e-47,-1.2075239,-0.6433462,0.5641777,0.57
"934","Phip","hurdle",8.92732501408295e-52,-1.4445886,-0.8468367,0.5977519,0.57
"837","Nmral1","hurdle",1.06214404033755e-58,-1.6495028,-0.9595847,0.6899181,0.57
"741","Miip","hurdle",1.867575348108e-77,-2.047756,-1.178132,0.869624,0.57
"721","Meaf6","hurdle",4.22352754097365e-46,-1.1749768,-0.6376919,0.5372849,0.57
"715","Mcm10","hurdle",8.56760267114686e-70,-2.024248,-1.233559,0.790689,0.57
"566","Hmga1-rs1","hurdle",6.03969533165085e-56,-1.6111335,-0.9613493,0.6497842,0.57
"1417","Uck2","hurdle",8.45926605819378e-47,-1.2655651,-0.7137285,0.5518366,0.569
"1372","Trip13","hurdle",4.49109960038064e-82,-2.33063,-1.466795,0.863835,0.569
"1296","Taf11","hurdle",5.64004933639724e-44,-1.0613359,-0.5401892,0.5211467,0.569
